RADICADO,FECHA,HORA,CLASE,DIRECCIÓN,BARRIO,COMUNA,Nº VICTIMA PEATON,Nº VICTIMA ACOMPANANTE,Nº VICTIMAPASAJERO,Nº VICTIMA CONDUCTOR,Nº VICTIMA HERIDO,Nº VICTIMA MUERTO
"19,130",03/17/2019 12:00:00 AM,9:00:00 PM,Volcamiento,KM 31 + 650 HATILLO DON MATIAS,ESMERALDA,Rural,0,0,0,0,0,0
"19,131",03/20/2019 12:00:00 AM,5:10:00 AM,Volcamiento,RUTA 6205 A,PAPELSA,Rural,0,0,0,1,1,0
"19,132",03/25/2019 12:00:00 AM,2:30:00 PM,Volcamiento,VEREDA LA CUESTA POR LA ESCUELA,PAPELSA,Rural,0,0,1,1,2,0
"19,134",03/23/2019 12:00:00 AM,3:00:00 PM,Atropello,CL 19 CR 18,PAPELSA,Urbana,1,0,0,0,1,0
"19,137",03/23/2019 12:00:00 AM,2:40:00 PM,Volcamiento,CARRERA 21 CON CALLE 20 GLORIETA,PAPELSA,Rural,0,0,0,1,1,0
"19,138",03/23/2019 12:00:00 AM,6:10:00 PM,Choque,BELLO HATILLO KM 22 + 800,PAPELSA,Rural,0,0,0,1,1,0
"19,140",03/24/2019 12:00:00 AM,8:35:00 AM,Volcamiento,CL 13 06 78,PAPELSA,Urbana,0,0,1,0,1,0
"19,141",03/23/2019 12:00:00 AM,9:10:00 PM,Choque,CR 21 CON CL  20 GLORIETA,PAPELSA,Urbana,0,0,0,0,0,0
"19,136",03/23/2019 12:00:00 AM,2:10:00 PM,Volcamiento,CARRERA 21 CALLE 20 GLORIETA,ESMERALDA,Urbana,0,0,0,1,1,0
"19,123",03/18/2019 12:00:00 AM,5:40:00 AM,Volcamiento,vereda hatillo k 1 + 100,ESMERALDA,Rural,0,0,0,1,1,0
"19,127",03/14/2019 12:00:00 AM,10:20:00 AM,Choque,HATILLO MATAZANO KM 34+530,ESMERALDA,Rural,0,0,,0,0,0
"19,133",03/25/2019 12:00:00 AM,2:30:00 AM,Atropello,CR21 CLL 13,ESMERALDA,Urbana,1,0,0,0,1,0
"19,139",03/23/2019 12:00:00 AM,2:00:00 PM,Volcamiento,CRA 21 GLORIETA,ESMERALDA,Urbana,0,1,0,1,2,0
"19,119",03/19/2019 12:00:00 AM,2:10:00 PM,Choque,VEREDA PLATANITO,ESMERALDA,Rural,0,0,0,2,2,0
"19,120",03/16/2019 12:00:00 AM,3:30:00 PM,Choque,VEREDA LA CUESTA,ESMERALDA,Rural,0,0,0,1,1,0
"19,121",03/07/2019 12:00:00 AM,9:00:00 PM,Choque,KM 1 + 700 VIA HATILLO CISNEROS,ESMERALDA,Rural,0,0,0,0,0,0
"19,122",03/11/2019 12:00:00 AM,5:00:00 PM,Choque,VIA HATILLO DON MATIAS KM 34 + 600,ESMERALDA,Rural,0,0,0,0,0,0
"19,117",03/11/2019 12:00:00 AM,10:30:00 AM,Choque,KM 15 + 800 VIA HATILLO BARBOSA,ESMERALDA,Rural,0,0,0,1,1,0
"19,118",03/08/2019 12:00:00 AM,7:50:00 AM,Choque,KM 33+500 DON MATIAS HATILLO,ESMERALDA,Rural,0,0,5,0,5,0
"19,112",03/11/2019 12:00:00 AM,6:30:00 PM,Volcamiento,CR 17 CLL 20 TIENDA LA CRUZ,ESMERALDA,Urbana,0,0,0,1,1,0
"19,113",03/08/2019 12:00:00 AM,2:00:00 PM,Volcamiento,KM 18 + 100 MOLINO VIEJO,ESMERALDA,Rural,0,0,0,1,1,0
"19,114",03/10/2019 12:00:00 AM,12:20:00 AM,Volcamiento,VEREDA PLATANITO,HOSPITAL,Rural,0,1,0,0,1,0
"19,115",03/11/2019 12:00:00 AM,8:10:00 PM,Volcamiento,VEREDA GUAYABAL,ESMERALDA,Rural,0,0,0,1,1,0
"19,116",03/12/2019 12:00:00 AM,6:30:00 AM,Volcamiento,HOSPITAL VEREDA FILO VERDE,ESMERALDA,Rural,0,0,0,1,1,0
"19,110",03/04/2019 12:00:00 AM,7:00:00 PM,Atropello,K1 + 300 HATILLO,ESMERALDA,Rural,1,0,0,0,1,0
"19,111",03/02/2019 12:00:00 AM,2:00:00 PM,Choque,HATILLO CISNEROS KM 2 + 000,ESMERALDA,Rural,0,0,0,0,0,0
"19,109",03/03/2019 12:00:00 AM,8:30:00 PM,Choque,HATILLO DON MATIAS KM 30 + 400,ESMERALDA,Rural,0,0,0,0,0,0
"19,108",02/27/2019 12:00:00 AM,9:45:00 PM,Choque,KILOMETRO 18 + 600 HATILLO CISNEROS,ESMERALDA,Rural,0,0,0,0,0,0
"19,101",03/03/2019 12:00:00 AM,1:45:00 PM,Volcamiento,TABLEMAC K 7 + 100 RUTA 62 05 A,ESMERALDA,Rural,0,0,0,1,1,0
"19,102",03/01/2019 12:00:00 AM,10:30:00 AM,Volcamiento,km 5 +400 hatillo cisneros,ESMERALDA,Rural,0,0,1,1,2,0
"19,103",02/28/2019 12:00:00 AM,7:30:00 PM,Choque,via hatillo don matias km 34+600,ESMERALDA,Rural,0,0,0,0,0,0
"19,104",03/03/2019 12:00:00 AM,12:30:00 PM,Volcamiento,BARRIO LA ESMERALDA,ESMERALDA,Urbana,0,0,1,1,2,0
"19,105",02/28/2019 12:00:00 AM,9:10:00 PM,Volcamiento,VEREDA HATILLO,ESMERALDA,Rural,0,0,1,0,1,0
"19,106",02/25/2019 12:00:00 AM,9:00:00 PM,Volcamiento,VEREDA PRADERA K 27 + 200,ESMERALDA,Rural,0,0,0,1,1,0
"19,107",03/05/2019 12:00:00 AM,5:00:00 AM,Volcamiento,VEREDA EL ECO,ESMERALDA,Rural,0,0,0,1,1,0
"19,100",02/24/2019 12:00:00 AM,8:40:00 AM,Choque,HATILLO CISNEROS KM 21 + 00,ESMERALDA,Rural,0,0,0,0,0,0
"19,094",02/23/2019 12:00:00 AM,7:00:00 AM,Choque,VEREDA PLATANITO,HOSPITAL,Rural,0,0,0,0,0,0
"19,095",02/21/2019 12:00:00 AM,11:00:00 PM,Volcamiento,cr 21 via barbosa porce,HOSPITAL,Rural,0,0,0,1,1,0
"19,096",02/23/2019 12:00:00 AM,7:00:00 AM,Volcamiento,vereda potrerito,ESMERALDA,Rural,0,0,0,1,1,0
"19,097",02/23/2019 12:00:00 AM,10:00:00 AM,Volcamiento,vereda chapa parte alta,ESMERALDA,Rural,0,0,0,1,1,0
"19,098",02/22/2019 12:00:00 AM,12:30:00 PM,Choque,VIA HATILLO GIRARDOTA K 6 + 900,ESMERALDA,Rural,0,0,0,1,1,0
"19,099",02/21/2019 12:00:00 AM,6:00:00 AM,Choque,KM 25+ 060 HATILLO LLANOS DE CUIVA,ESMERALDA,Rural,0,0,0,0,0,0
"19,093",02/26/2019 12:00:00 AM,11:10:00 AM,Choque,KILOMETRO 17 +100,PAPELSA,Rural,0,0,0,1,1,0
"19,092",02/24/2019 12:00:00 AM,2:45:00 PM,Choque,KILOMETRO 11 +100 RECTA EL LEON,PAPELSA,Rural,0,1,0,1,2,0
"19,090",02/20/2019 12:00:00 AM,3:40:00 PM,Otro,TRONCAL NORDESTE 999 - 18 FABRICA DE PAPELSA,PAPELSA,Urbana,,0,0,0,0,0
"19,091",02/20/2019 12:00:00 AM,6:10:00 AM,Choque,CR 21 CON KM 8 +100,PAPELSA,Rural,0,0,0,1,1,0
"19,088",02/20/2019 12:00:00 AM,7:45:00 AM,Volcamiento,KM 23 + 200 VEREDA EL MACHETE,PAPELSA,Rural,0,0,0,1,1,0
"19,089",02/16/2019 12:00:00 AM,12:50:00 PM,Volcamiento,DON MATIAS BELLO KM 28 + 00,PAPELSA,Rural,0,0,0,0,0,0
"19,083",02/15/2019 12:00:00 AM,11:00:00 AM,Volcamiento,VEREDA PLATANITO,PAPELSA,Rural,0,0,0,1,1,0
"19,084",02/15/2019 12:00:00 AM,7:45:00 AM,Volcamiento,VEREDA EL MACHETE KM 2 + 100,PAPELSA,Rural,0,0,0,1,1,0
"19,085",02/19/2019 12:00:00 AM,6:00:00 AM,Volcamiento,VEREDA GUAYABO VIA YARUMITO,PAPELSA,Rural,0,0,0,1,1,0
"19,086",02/18/2019 12:00:00 AM,5:40:00 AM,Choque,VEREDA EL MACHETE KM 14 +100,PAPELSA,Rural,0,0,0,1,1,0
"19,087",02/18/2019 12:00:00 AM,7:15:00 AM,Choque,KM 13 + 600  HATILLO CISNEROS,ESMERALDA,Rural,0,0,0,1,1,0
"19,081",02/17/2019 12:00:00 AM,10:30:00 AM,Choque,KM 4 + 110 VERDA ISAZA,PAPELSA,Rural,0,0,0,1,1,0
"19,082",02/14/2019 12:00:00 AM,6:25:00 PM,Atropello,CL 16 CON CR 17,PAPELSA,Urbana,2,0,0,0,2,0
"19,075",02/15/2019 12:00:00 AM,12:10:00 AM,Choque,KMN 3 + 500 HATILLO DON MATIAS,PAPELSA,Rural,0,0,1,1,2,0
"19,076",02/13/2019 12:00:00 AM,6:40:00 AM,Atropello,VIA HATILLO DON  MATIAS,ESMERALDA,Rural,2,0,0,0,2,0
"19,077",02/12/2019 12:00:00 AM,11:50:00 AM,Choque,KM 17 + 000 NIQUIA HATILLO,ESMERALDA,Rural,0,0,1,0,1,0
"19,078",02/13/2019 12:00:00 AM,5:30:00 PM,Choque,HATILLO BELLO KILOMETRO 18 + 700,PAPELSA,Rural,0,0,0,1,1,0
"19,079",02/16/2019 12:00:00 AM,8:30:00 PM,Choque,VEREDA VALLECITOS,PAPELSA,Rural,0,0,0,2,2,0
"19,080",02/16/2019 12:00:00 AM,10:30:00 AM,Volcamiento,VIA HATILLO DON MATIAS / ALTO DE MATAZANOS,PAPELSA,Rural,0,0,1,0,1,0
